,E1,,,,E2,,,
,Indexing,Execution,Total Time,Numer of reponses,Indexing,Execution,Total Time,Numer of reponses
gtfs-1,1.087,0.810,1.897,1284,1.609,0.183,1.792,1284
gtfs-5,2.183,5473.869,5476.052,4034,3.664,1.662,5.326,4034
gtfs-10,3.439,timeout,timeout,-,5.889,2.837,8.726,7840
gtfs-50,11.569,timeout,timeout,-,83.558,10.857,94.415,39008
gtfs-100,24.374,timeout,timeout,-,730.697,21.528,752.225,79444
