,E1,,,,E2,,,
,Indexing,Execution,Total Time,Number of responses,Indexing,Execution,Total Time,Number of responses
gtfs-1,1.09,3.81,4.90,2364,1.61,4.23,5.84,2364
gtfs-5,2.18,9.70,11.88,11820,3.66,11.03,14.69,11820
gtfs-10,3.44,17.87,21.31,23640,5.89,20.73,26.62,23640
gtfs-50,11.57,89.48,101.05,118200,83.56,99.48,183.04,118200
gtfs-100,24.37,181.58,205.95,236400,730.70,201.36,932.06,236400
